1,-0.0000
2,-0.1347
3,0.0000
4,-0.0000
5,0.0000
6,0.0000
7,0.0000
8,-0.1146
9,0.1636
10,-0.0000
11,1.2264
12,0.0000
13,-0.0002
14,-0.0000
15,0.0000
16,-0.0000
17,-0.1253
18,0.0000
19,-0.0000
20,0.0000
21,0.0494
22,0.0000
23,-0.2996
24,0.0000
25,0.0000
26,-0.0031
27,0.0000
28,-0.0000
29,-0.0003
30,0.0000
31,0.8597
32,-0.0000
33,-0.0000
34,0.0000
35,0.0012
36,0.0000
37,0.0000
38,0.0029
39,-0.0000
40,-0.0000
41,-0.0000
42,-0.0000
43,-0.0000
44,-0.0305
45,0.0000
46,-0.0000
47,-0.0019
48,-0.0000
49,-0.0000
50,-0.0000
51,0.0000
52,-0.1015
53,0.0000
54,-0.0000
55,-0.0048
56,-0.0000
57,-0.0000
58,-0.0000
59,-0.0001
60,0.0000
61,-0.0000
62,-0.0428
63,0.0000
64,-0.0001
65,-0.0000
66,-0.0000
67,0.0000
68,-0.0000
69,-0.0001
70,0.7105
71,0.0000
72,0.0000
73,-0.0000
74,0.0261
75,0.0109
76,0.0000
77,0.0000
78,0.0000
79,-0.0211
80,0.0000
81,-0.0000
82,-0.0000
83,-0.0626
84,0.0359
85,-0.0000
86,0.0000
87,0.0000
88,-0.0000
89,0.0000
90,-0.0000
91,-0.0000
92,-0.0043
93,0.0000
94,0.0000
95,-0.6001
96,-0.0000
97,0.0001
98,0.0000
99,0.0000
100,-0.0117
