1,0.0000
2,-0.1413
3,0.0000
4,-0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.1209
9,-0.0651
10,-0.0000
11,1.2411
12,0.0000
13,-0.0003
14,-0.0000
15,0.0000
16,0.0000
17,-0.1438
18,0.0000
19,-0.0000
20,-0.0000
21,0.0519
22,0.0000
23,-0.2761
24,0.0000
25,-0.0000
26,0.0000
27,0.0000
28,0.0032
29,0.0002
30,0.0002
31,0.7757
32,-0.0000
33,0.0000
34,-0.0000
35,-0.0046
36,0.0000
37,0.0000
38,-0.0000
39,-0.0000
40,0.0030
41,0.0000
42,-0.0313
43,-0.0000
44,0.0000
45,0.0000
46,0.0000
47,-0.0000
48,0.0000
49,-0.0000
50,-0.0024
51,-0.0000
52,0.0000
53,-0.0000
54,0.1049
55,0.0000
56,-0.0039
57,0.0000
58,0.0000
59,0.0000
60,0.0000
61,-0.0000
62,-0.0370
63,-0.0000
64,0.0000
65,0.0034
66,0.0000
67,-0.0001
68,0.0000
69,0.0001
70,0.0581
71,-0.0000
72,0.5957
73,-0.0000
74,0.0654
75,-0.0000
76,-0.0021
77,0.0000
78,0.0000
79,-0.0000
80,0.0000
81,0.0148
82,0.0000
83,-0.0000
84,0.0000
85,-0.1105
86,-0.0000
87,-0.0000
88,0.0000
89,-0.0000
90,0.0000
91,-0.0000
92,-0.6083
93,-0.0000
94,-0.0408
95,0.0000
96,-0.0285
97,-0.0000
98,0.0001
99,0.0000
100,0.0000
