1,-0.0000
2,-0.1467
3,0.0000
4,-0.0000
5,-0.0000
6,0.0000
7,0.0000
8,0.1404
9,-0.0622
10,-0.0000
11,1.2361
12,-0.0000
13,-0.0002
14,0.0000
15,0.0000
16,-0.1512
17,0.0000
18,0.0000
19,-0.0000
20,-0.0000
21,0.4504
22,0.0000
23,0.0346
24,0.9412
25,-0.0004
26,0.0000
27,0.0000
28,0.0000
29,0.0099
30,-0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,-0.0370
38,-0.0026
39,0.0000
40,-0.0000
41,-0.0000
42,0.0000
43,0.0000
44,0.0000
45,-0.0000
46,-0.0362
47,0.0000
48,-0.0000
49,-0.0021
50,-0.0000
51,-0.0000
52,-0.1204
53,0.0000
54,-0.0019
55,-0.0000
56,-0.0000
57,-0.0000
58,-0.0001
59,-0.0000
60,-0.0000
61,0.0000
62,-0.0079
63,0.0000
64,0.0000
65,-0.0692
66,-0.0079
67,0.3363
68,-0.0000
69,0.0000
70,0.0000
71,-0.0000
72,-0.0000
73,-0.0001
74,-0.0000
75,-0.0000
76,0.0063
77,0.0000
78,0.0832
79,-0.0000
80,-0.4162
81,0.0000
82,-0.0000
83,-0.0000
84,-0.0000
85,-0.0000
86,0.6320
87,0.3794
88,0.0000
89,0.0003
90,-0.0000
91,-0.0000
92,0.0000
93,0.0027
94,-0.0000
95,-0.0000
96,-0.0001
97,0.0000
98,0.0000
99,-0.0000
100,-0.0000
