1,-0.0000
2,0.0000
3,-0.0000
4,0.8016
5,0.7288
6,1.0229
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0001
12,-0.0000
13,0.4179
14,0.0446
15,-0.0000
16,0.0000
17,0.0000
18,-0.0000
19,0.0000
20,0.0000
21,-0.0000
22,0.0483
23,-0.0000
24,1.0247
25,-0.0000
26,0.0000
27,-0.0000
28,0.0001
29,0.1500
30,0.2684
31,0.0002
32,-0.0000
33,-0.0000
34,-0.0273
35,0.0000
36,0.0000
37,-0.0000
38,-0.0000
39,0.1647
40,0.0000
41,-0.0000
42,0.0000
43,-0.0000
44,-0.0185
45,0.0000
46,-0.0000
47,0.0000
48,-0.0000
49,-0.0000
50,0.0001
51,0.1292
52,0.0000
53,0.0000
54,0.0000
55,0.0042
56,0.0000
57,0.0162
58,0.0000
59,-0.0000
60,0.0000
61,0.0139
62,0.0000
63,-0.0000
64,-0.0000
65,0.0000
66,0.0000
67,0.1151
68,0.0000
69,0.1197
70,-0.0000
71,0.0097
72,0.0000
73,-0.0000
74,-0.0000
75,0.0000
76,-0.0000
77,0.0000
78,0.0000
79,-0.0201
80,0.0000
81,0.3166
82,0.0000
83,0.0000
84,0.0000
85,-0.0000
86,0.0670
87,-0.0000
88,-0.0258
89,-0.0000
90,0.0000
91,0.0916
92,0.0000
93,0.0000
94,0.0000
95,-0.0000
96,0.0000
97,0.0000
98,0.0126
99,-0.0000
100,0.0254
