1,-0.0000
2,0.0000
3,-0.0000
4,0.7917
5,1.0698
6,-0.6949
7,0.0000
8,0.0000
9,0.0000
10,-0.0000
11,0.0000
12,0.0000
13,0.4109
14,0.0450
15,-0.0000
16,0.0000
17,0.0000
18,-0.0000
19,0.0000
20,0.1321
21,0.0000
22,0.0321
23,-0.0000
24,1.1371
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,-0.0001
30,0.0000
31,0.2462
32,0.0000
33,0.0000
34,-0.0266
35,0.0000
36,-0.0000
37,0.0000
38,-0.0000
39,0.0000
40,0.1612
41,-0.0000
42,0.0000
43,-0.0173
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,-0.0000
49,0.0000
50,-0.0000
51,0.0000
52,-0.0000
53,0.0053
54,0.0000
55,0.0240
56,-0.0000
57,0.0000
58,-0.0000
59,0.1273
60,-0.0000
61,0.0100
62,0.0000
63,-0.0000
64,0.0000
65,-0.0005
66,0.1296
67,-0.0000
68,-0.0000
69,0.0000
70,0.0000
71,0.0218
72,0.1052
73,-0.0000
74,0.0000
75,0.0339
76,-0.0000
77,0.0000
78,-0.0439
79,-0.0002
80,0.0002
81,0.3412
82,0.0000
83,0.0000
84,-0.0000
85,-0.0000
86,0.0000
87,0.0000
88,-0.0135
89,0.0000
90,0.0000
91,-0.0000
92,-0.0000
93,-0.0000
94,0.0927
95,0.0000
96,0.0107
97,-0.0000
98,-0.0187
99,0.0000
100,-0.0000
