1,-0.0000
2,0.0000
3,-0.0000
4,0.8298
5,0.9801
6,-0.7739
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.4002
14,0.0441
15,-0.0000
16,0.0000
17,0.0000
18,-0.0000
19,0.0000
20,0.1932
21,0.0000
22,0.0098
23,0.0000
24,1.0728
25,0.0000
26,0.0000
27,0.0000
28,-0.0000
29,-0.0001
30,0.0000
31,0.2400
32,-0.0000
33,-0.0000
34,-0.0260
35,-0.0000
36,-0.0000
37,0.0000
38,-0.0000
39,-0.0000
40,0.1603
41,-0.0000
42,0.0000
43,-0.0165
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,-0.0000
51,0.0000
52,-0.0000
53,0.0055
54,0.0000
55,0.0227
56,-0.0000
57,0.0000
58,0.0000
59,0.1270
60,-0.0000
61,0.0033
62,-0.0000
63,-0.0000
64,0.0000
65,0.1297
66,0.0000
67,0.0000
68,0.0000
69,0.0000
70,0.0000
71,0.0185
72,0.0000
73,-0.0000
74,0.1054
75,-0.0000
76,0.0258
77,0.0000
78,-0.0480
79,-0.0002
80,0.3440
81,0.0000
82,0.0000
83,0.0000
84,-0.0000
85,-0.0000
86,-0.0133
87,-0.0000
88,-0.0000
89,-0.0000
90,0.0000
91,-0.0000
92,-0.0000
93,-0.0000
94,0.0932
95,0.0000
96,0.0086
97,-0.0000
98,0.0143
99,0.0000
100,0.0000
